date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:45	10463/10463	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-28df%22	https://qb64.com/wiki/PRINT-(file-statement)	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/PRINT-(file-statement).html	(from https://qb64.com/wiki)
12:57:46	5608/5608	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-15e8%22	https://qb64.com/wiki/AS	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/AS.html	(from https://qb64.com/wiki)
12:57:47	22340/22340	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-5744%22	https://qb64.com/wiki/ASC	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ASC.html	(from https://qb64.com/wiki)
12:57:48	63760/63760	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-f910%22	https://qb64.com/wiki/ASCII	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ASCII.html	(from https://qb64.com/wiki)
12:57:49	13717/13717	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-3595%22	https://qb64.com/wiki/STRING	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/STRING.html	(from https://qb64.com/wiki)
12:57:50	6396/6396	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-18fc%22	https://qb64.com/wiki/ASC-(statement)	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ASC-(statement).html	(from https://qb64.com/wiki)
12:57:51	12892/12892	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-325c%22	https://qb64.com/wiki/ATN	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ATN.html	(from https://qb64.com/wiki)
12:57:52	14847/14847	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-39ff%22	https://qb64.com/wiki/TAN	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/TAN.html	(from https://qb64.com/wiki)
12:57:53	4442/4442	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-115a%22	https://qb64.com/wiki/BEEP	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/BEEP.html	(from https://qb64.com/wiki)
12:57:54	12613/12613	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-3145%22	https://qb64.com/wiki/BINARY	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/BINARY.html	(from https://qb64.com/wiki)
12:57:55	13636/13636	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-3544%22	https://qb64.com/wiki/GET	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/GET.html	(from https://qb64.com/wiki)
12:57:56	11566/11566	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-2d2e%22	https://qb64.com/wiki/PUT	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/PUT.html	(from https://qb64.com/wiki)
12:57:57	8283/8283	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-205b%22	https://qb64.com/wiki/BLOAD	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/BLOAD.html	(from https://qb64.com/wiki)
12:57:58	17557/17557	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-4495%22	https://qb64.com/wiki/BSAVE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/BSAVE.html	(from https://qb64.com/wiki)
12:57:59	31464/31464	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-7ae8%22	https://qb64.com/wiki/Arrays	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/Arrays.html	(from https://qb64.com/wiki)
12:58:00	3312/3312	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-cf0%22	https://qb64.com/wiki/BYVAL	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/BYVAL.html	(from https://qb64.com/wiki)
12:58:01	7863/7863	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1eb7%22	https://qb64.com/wiki/CALL	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CALL.html	(from https://qb64.com/wiki)
12:58:02	8623/8623	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-21af%22	https://qb64.com/wiki/CASE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CASE.html	(from https://qb64.com/wiki)
12:58:03	22533/22533	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-5805%22	https://qb64.com/wiki/SELECT-CASE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/SELECT-CASE.html	(from https://qb64.com/wiki)
12:58:04	6267/6267	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-187b%22	https://qb64.com/wiki/CASE-ELSE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CASE-ELSE.html	(from https://qb64.com/wiki)
12:58:05	5535/5535	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-159f%22	https://qb64.com/wiki/CASE-IS	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CASE-IS.html	(from https://qb64.com/wiki)
12:58:06	4932/4932	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1344%22	https://qb64.com/wiki/CDBL	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CDBL.html	(from https://qb64.com/wiki)
12:58:07	4977/4977	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1371%22	https://qb64.com/wiki/DOUBLE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DOUBLE.html	(from https://qb64.com/wiki)
12:58:08	5951/5951	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-173f%22	https://qb64.com/wiki/CHAIN	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CHAIN.html	(from https://qb64.com/wiki)
12:58:09	9744/9744	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-2610%22	https://qb64.com/wiki/CHDIR	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CHDIR.html	(from https://qb64.com/wiki)
12:58:10	15191/15191	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-3b57%22	https://qb64.com/wiki/CHR$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CHR$.html	(from https://qb64.com/wiki)
12:58:11	5501/5501	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-157d%22	https://qb64.com/wiki/CINT	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CINT.html	(from https://qb64.com/wiki)
12:58:12	7995/7995	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1f3b%22	https://qb64.com/wiki/INTEGER	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/INTEGER.html	(from https://qb64.com/wiki)
12:58:13	24352/24352	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-5f20%22	https://qb64.com/wiki/CIRCLE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CIRCLE.html	(from https://qb64.com/wiki)
12:58:14	5463/5463	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1557%22	https://qb64.com/wiki/CLEAR	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CLEAR.html	(from https://qb64.com/wiki)
12:58:15	4757/4757	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1295%22	https://qb64.com/wiki/CLNG	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CLNG.html	(from https://qb64.com/wiki)
12:58:16	5275/5275	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-149b%22	https://qb64.com/wiki/LONG	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/LONG.html	(from https://qb64.com/wiki)
12:58:17	4798/4798	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-12be%22	https://qb64.com/wiki/CLOSE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CLOSE.html	(from https://qb64.com/wiki)
12:58:18	8433/8433	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-20f1%22	https://qb64.com/wiki/CLS	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CLS.html	(from https://qb64.com/wiki)
12:58:19	26414/26414	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-672e%22	https://qb64.com/wiki/SCREEN	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/SCREEN.html	(from https://qb64.com/wiki)
12:58:20	7239/7239	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1c47%22	https://qb64.com/wiki/VIEW	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/VIEW.html	(from https://qb64.com/wiki)
12:58:21	9366/9366	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-2496%22	https://qb64.com/wiki/WINDOW	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/WINDOW.html	(from https://qb64.com/wiki)
12:58:22	29130/29130	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-71ca%22	https://qb64.com/wiki/COLOR	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/COLOR.html	(from https://qb64.com/wiki)
12:58:23	9921/9921	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-26c1%22	https://qb64.com/wiki/COMMAND$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/COMMAND$.html	(from https://qb64.com/wiki)
12:58:24	5274/5274	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-149a%22	https://qb64.com/wiki/COMMON	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/COMMON.html	(from https://qb64.com/wiki)
12:58:25	9438/9438	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-24de%22	https://qb64.com/wiki/CONST	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CONST.html	(from https://qb64.com/wiki)
12:58:26	16457/16457	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-4049%22	https://qb64.com/wiki/COS	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/COS.html	(from https://qb64.com/wiki)
12:58:27	4722/4722	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1272%22	https://qb64.com/wiki/CSNG	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CSNG.html	(from https://qb64.com/wiki)
12:58:28	4837/4837	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-12e5%22	https://qb64.com/wiki/SINGLE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/SINGLE.html	(from https://qb64.com/wiki)
12:58:29	6435/6435	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1923%22	https://qb64.com/wiki/CSRLIN	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CSRLIN.html	(from https://qb64.com/wiki)
12:58:30	13722/13722	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-359a%22	https://qb64.com/wiki/PRINT	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/PRINT.html	(from https://qb64.com/wiki)
12:58:31	7521/7521	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1d61%22	https://qb64.com/wiki/CVD	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CVD.html	(from https://qb64.com/wiki)
12:58:32	4550/4550	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-11c6%22	https://qb64.com/wiki/MKD$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/MKD$.html	(from https://qb64.com/wiki)
12:58:33	6319/6319	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-18af%22	https://qb64.com/wiki/CVDMBF	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CVDMBF.html	(from https://qb64.com/wiki)
12:58:34	3953/3953	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-f71%22	https://qb64.com/wiki/MKDMBF$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/MKDMBF$.html	(from https://qb64.com/wiki)
12:58:35	11296/11296	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-2c20%22	https://qb64.com/wiki/CVI	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CVI.html	(from https://qb64.com/wiki)
12:58:36	8624/8624	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-21b0%22	https://qb64.com/wiki/MKI$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/MKI$.html	(from https://qb64.com/wiki)
12:58:37	8543/8543	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-215f%22	https://qb64.com/wiki/CVL	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CVL.html	(from https://qb64.com/wiki)
12:58:38	4992/4992	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1380%22	https://qb64.com/wiki/MKL$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/MKL$.html	(from https://qb64.com/wiki)
12:58:39	6236/6236	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-185c%22	https://qb64.com/wiki/CVS	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CVS.html	(from https://qb64.com/wiki)
12:58:40	4598/4598	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-11f6%22	https://qb64.com/wiki/MKS$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/MKS$.html	(from https://qb64.com/wiki)
12:58:41	6286/6286	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-188e%22	https://qb64.com/wiki/CVSMBF	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/CVSMBF.html	(from https://qb64.com/wiki)
12:58:42	3953/3953	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-f71%22	https://qb64.com/wiki/MKSMBF$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/MKSMBF$.html	(from https://qb64.com/wiki)
